status,product_area,response,justification,request_type
replied,general,"According to support documentation: Login issues solved using forgot password option. If the issue persists, please contact support.","type=product_issue, area=general, risk=low, confidence=0.33",product_issue
replied,assessments,"According to support documentation: Coding test not loading fix by refreshing browser or checking internet. If the issue persists, please contact support.","type=product_issue, area=assessments, risk=low, confidence=0.31",product_issue
replied,payments,"According to support documentation: Refunds should be requested via merchant or bank. If the issue persists, please contact support.","type=product_issue, area=payments, risk=low, confidence=0.6",product_issue
replied,payments,"According to support documentation: Refunds should be requested via merchant or bank. If the issue persists, please contact support.","type=product_issue, area=payments, risk=low, confidence=0.65",product_issue
replied,payments,"According to support documentation: Payment failures due to insufficient balance or restrictions. If the issue persists, please contact support.","type=bug, area=payments, risk=low, confidence=0.4",bug
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.2",product_issue
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.17",product_issue
replied,assessments,"According to support documentation: Submission errors happen due to timeouts or incorrect execution. If the issue persists, please contact support.","type=product_issue, area=assessments, risk=low, confidence=0.45",product_issue
replied,general,"According to support documentation: Assessment issues due to browser compatibility or network problems. If the issue persists, please contact support.","type=product_issue, area=general, risk=low, confidence=0.47",product_issue
replied,assessments,"According to support documentation: Assessment issues due to browser compatibility or network problems. If the issue persists, please contact support.","type=product_issue, area=assessments, risk=low, confidence=0.3",product_issue
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.23",product_issue
replied,general,"According to support documentation: Coding test not loading fix by refreshing browser or checking internet. If the issue persists, please contact support.","type=bug, area=general, risk=low, confidence=0.3",bug
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.23",product_issue
escalated,billing,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=billing, risk=low, confidence=0.26",product_issue
replied,general,"According to support documentation: Submission errors happen due to timeouts or incorrect execution. If the issue persists, please contact support.","type=feature_request, area=general, risk=low, confidence=0.5",feature_request
replied,general,"According to support documentation: Unauthorized transactions must be reported to bank immediately. If the issue persists, please contact support.","type=product_issue, area=general, risk=low, confidence=0.35",product_issue
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.27",product_issue
replied,assessments,"According to support documentation: Assessment issues due to browser compatibility or network problems. If the issue persists, please contact support.","type=product_issue, area=assessments, risk=low, confidence=0.34",product_issue
replied,general,"According to support documentation: Refunds should be requested via merchant or bank. If the issue persists, please contact support.","type=product_issue, area=general, risk=low, confidence=0.33",product_issue
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.27",product_issue
replied,general,"According to support documentation: Claude API usage and billing details available in dashboard. If the issue persists, please contact support.","type=product_issue, area=general, risk=low, confidence=0.33",product_issue
replied,payments,"According to support documentation: Refunds should be requested via merchant or bank. If the issue persists, please contact support.","type=product_issue, area=payments, risk=low, confidence=0.38",product_issue
replied,general,"According to support documentation: Claude API usage and billing details available in dashboard. If the issue persists, please contact support.","type=feature_request, area=general, risk=low, confidence=0.39",feature_request
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.21",product_issue
escalated,fraud,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=fraud, risk=high, confidence=0.27",product_issue
replied,general,"According to support documentation: Claude API usage and billing details available in dashboard. If the issue persists, please contact support.","type=feature_request, area=general, risk=low, confidence=0.29",feature_request
escalated,account_access,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=account_access, risk=low, confidence=0.27",product_issue
escalated,general,This issue may involve sensitive or unclear information and has been escalated to human support.,"type=product_issue, area=general, risk=low, confidence=0.21",product_issue
replied,payments,"According to support documentation: Refunds should be requested via merchant or bank. If the issue persists, please contact support.","type=product_issue, area=payments, risk=low, confidence=0.4",product_issue
